src,sport,dst,dport,cwnd,bw,mrtt,pacing_gain,cwnd_gain,time,id
10.0.0.5,58419,10.1.0.11,51230,1024,64400000.00000001,0.080028,1,2,3.5989999999999327,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.606999999999971,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.617999999999938,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.6259999999999764,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.6369999999999436,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.6480000000001382,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.6980000000000928,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.7049999999999272,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.7129999999999654,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.7200000000000273,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.727000000000089,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.7360000000001037,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.796000000000049,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.8020000000001346,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.813000000000102,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.82100000000014,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.83400000000006,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.841000000000122,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.856999999999971,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.9010000000000673,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.9139999999999873,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.923999999999978,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.939000000000078,1
10.0.0.5,58419,10.1.0.11,51230,1082,67900000.0,0.080026,1,2,3.949000000000069,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.0,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.0090000000000146,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.018000000000029,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.030999999999949,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.037000000000035,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.053000000000111,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.098999999999933,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.107999999999947,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.117999999999938,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.124000000000024,1
10.0.0.5,58419,10.1.0.11,51230,1090,67900000.0,0.080026,1.25,2,4.135999999999967,1
10.0.0.5,58419,10.1.0.11,51230,982,67900000.0,0.080026,1.25,2,4.148000000000138,1
10.0.0.5,58419,10.1.0.11,51230,982,67900000.0,0.080026,1.25,2,4.198000000000093,1
10.0.0.5,58419,10.1.0.11,51230,984,67900000.0,0.080026,1.25,2,4.204999999999927,1
10.0.0.5,58419,10.1.0.11,51230,984,67900000.0,0.080026,1.25,2,4.216000000000122,1
10.0.0.5,58419,10.1.0.11,51230,984,67900000.0,0.080026,1.25,2,4.222999999999956,1
10.0.0.5,58419,10.1.0.11,51230,984,67900000.0,0.080026,1.25,2,4.239000000000033,1
10.0.0.5,58419,10.1.0.11,51230,984,67900000.0,0.080026,1.25,2,4.248000000000047,1
10.0.0.5,58419,10.1.0.11,51230,984,67900000.0,0.080026,1.25,2,4.303000000000111,1
10.0.0.5,58419,10.1.0.11,51230,984,67900000.0,0.080026,1.25,2,4.3120000000001255,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.323000000000093,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.332000000000107,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.343000000000075,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.351000000000113,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.401000000000067,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.411000000000058,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.41800000000012,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.430000000000064,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.438000000000102,1
10.0.0.5,58419,10.1.0.11,51230,990,67900000.0,0.080026,1.25,2,4.44600000000014,1
10.0.0.5,58419,10.1.0.11,51230,904,61800000.0,0.080026,1.25,2,4.499000000000024,1
10.0.0.5,58419,10.1.0.11,51230,904,61800000.0,0.080026,1.25,2,4.509999999999991,1
10.0.0.5,58419,10.1.0.11,51230,904,61800000.0,0.080026,1.25,2,4.520999999999958,1
10.0.0.5,58419,10.1.0.11,51230,904,61800000.0,0.080026,1.25,2,4.538000000000011,1
10.0.0.5,58419,10.1.0.11,51230,904,61900000.0,0.080026,1.25,2,4.550999999999931,1
10.0.0.5,58419,10.1.0.11,51230,904,61900000.0,0.080026,1.25,2,4.607999999999947,1
10.0.0.5,58419,10.1.0.11,51230,904,61900000.0,0.080026,1.25,2,4.617999999999938,1
10.0.0.5,58419,10.1.0.11,51230,904,61900000.0,0.080026,1.25,2,4.633000000000038,1
10.0.0.5,58419,10.1.0.11,51230,912,61900000.0,0.080026,1.25,2,4.6469999999999345,1
10.0.0.5,58419,10.1.0.11,51230,912,61900000.0,0.080026,1.25,2,4.658000000000129,1
10.0.0.5,58419,10.1.0.11,51230,912,61900000.0,0.080026,1.25,2,4.704999999999927,1
10.0.0.5,58419,10.1.0.11,51230,912,61900000.0,0.080026,1.25,2,4.720000000000027,1
10.0.0.5,58419,10.1.0.11,51230,912,61900000.0,0.080026,1.25,2,4.738000000000056,1
10.0.0.5,58419,10.1.0.11,51230,912,61900000.0,0.080026,1.25,2,4.749000000000024,1
10.0.0.5,58419,10.1.0.11,51230,914,61900000.0,0.080026,1.25,2,4.7999999999999545,1
10.0.0.5,58419,10.1.0.11,51230,914,61900000.0,0.080026,1.25,2,4.813000000000102,1
10.0.0.5,58419,10.1.0.11,51230,914,61900000.0,0.080026,1.25,2,4.826000000000022,1
10.0.0.5,58419,10.1.0.11,51230,914,61900000.0,0.080026,1.25,2,4.836999999999989,1
