rate,burst,lat,backlog,limit,delay,ip,time,id
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,78.77300000000014,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,78.79300000000012,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,78.80799999999999,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,78.83200000000011,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,78.84800000000018,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,78.87000000000012,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,78.88800000000015,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,78.90600000000018,3
300000000.0,14962.0,401.0,1056.0,1000,0.04,10.0.0.9,78.952,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,78.97700000000009,3
300000000.0,14962.0,401.0,1794.0,1000,0.04,10.0.0.9,78.99800000000005,3
300000000.0,14962.0,401.0,1926.0,1000,0.04,10.0.0.9,79.01400000000012,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,79.029,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,79.05100000000016,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,79.07200000000012,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.09000000000015,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.1070000000002,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.13300000000004,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,79.15300000000002,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,79.17200000000003,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,79.19100000000003,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.20800000000008,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,79.22800000000007,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,79.25400000000013,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,79.27200000000016,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.28800000000001,3
300000000.0,14962.0,401.0,1584.0,1000,0.04,10.0.0.9,79.31000000000017,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,79.33600000000001,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,79.35800000000017,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,79.38000000000011,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,79.39600000000019,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,79.41600000000017,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,79.44200000000001,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,79.46800000000007,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,79.49000000000001,3
